Row,ID
">MT253697 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/HZ-178/2020| complete genome
",ID-163
">NC_045512 |Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1| complete genome
",ID-1
">MT293202 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USAWA-UW438/2020| complete genome
",ID-31
">MT246488 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW231/2020| complete genome
",ID-184
">MT135042 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/231/2020| complete genome
",ID-231
">MT263457 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW378/2020| complete genome
",ID-68
">MT123293 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/IQTC03/2020| complete genome
",ID-237
">MT263450 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW370/2020| complete genome
",ID-87
">MT159706 |Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-8/2020| complete genome
",ID-225
">MT292571 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ESP/Valencia12/2020| complete genome
",ID-26
">MT093571 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/SWE/01/2020| complete genome
",ID-244
">MT246474 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW217/2020| complete genome
",ID-175
">MT295465 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UF-2/2020| complete genome
",ID-25
">MT263425 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW345/2020| complete genome
",ID-85
">MT291830 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Wuhan_IME-WH05/2019| complete genome
",ID-49
">MT184913 |Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-26/2020| complete genome
",ID-203
">MT263462 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW383/2020| complete genome
",ID-109
